"year","FIPS","grade","subject","female","lep","sped","age","white","black","hispanic","asian","amind","unclass","freelunch","redlunch","misslunch","books_125","books_26p","books_multmiss","lang_nr","lang_st","lang_mt","lang_om","score_000000","score_100000","score_010000","score_001000","score_000100","score_000010","score_000001","score_110000","score_101000","score_100100","score_100010","score_100001","score_011000","score_010100","score_010010","score_010001","score_001100","score_001010","score_001001","score_000110","score_000101","score_000011","score_111000","score_110100","score_110010","score_110001","score_101100","score_101010","score_101001","score_100110","score_100101","score_100011","score_011100","score_011010","score_011001","score_010110","score_010101","score_010011","score_001110","score_001101","score_001011","score_000111","score_111100","score_111010","score_111001","score_110110","score_110101","score_110011","score_101110","score_101101","score_101011","score_100111","score_011110","score_011101","score_011011","score_010111","score_001111","score_111110","score_111101","score_111011","score_110111","score_101111","score_011111","score_111111","rank"
1990,"Oregon",8,"math",0.4827752,0.0071411,0.0499939,13.91317,0.8467827,0.0149057,0.0691523,0.0295867,0.0376754,0.0018971,,,,0.0241271,0.9509786,0.0248943,0.6516311,0.2974937,0.0460837,0.0037921,271.4169,264.2463,,269.6882,269.0479,270.4197,269.9198,,263.4493,262.0084,263.2341,263.8587,,,,,267.6484,268.6766,269.0042,268.4323,267.6338,268.8235,,,,,261.4348,262.4716,263.2145,261.3696,261.6848,262.8649,,,,,,,266.9996,266.9537,267.9305,266.9325,,,,,,,260.8046,261.2348,262.2523,261.0541,,,,,266.2509,,,,,260.6123,,,31
1990,"Pennsylvania",8,"math",0.4917029,0.0016023,0.051149,14.00714,0.8076671,0.1202774,0.0463801,0.0122983,0.0116247,0.0017523,,,,0.0267701,0.9464288,0.0268011,0.737022,0.2213874,0.0364103,0.0051804,266.3063,261.6288,,264.3742,263.9819,266.4722,264.4806,,260.9821,259.4169,261.6704,261.3738,,,,,262.4009,264.5337,263.5692,264.2177,262.2282,264.5245,,,,,258.9674,261.0342,260.8545,259.5557,259.2209,261.391,,,,,,,262.627,261.5503,263.6215,262.379,,,,,,,259.1076,258.8736,260.881,259.339,,,,,261.7008,,,,,258.9929,,,32
1990,"Rhode Island",8,"math",0.5049461,0.0190865,0.0691017,13.89678,0.827616,0.0455295,0.0822747,0.0234729,0.0147591,0.0063479,,,,0.0509047,0.9032966,0.0457986,0.6503639,0.2473543,0.0962424,0.003721,259.537,253.3654,,258.2472,257.9056,258.3369,258.6538,,252.92,251.858,252.154,253.2954,,,,,256.8544,257.0328,257.8387,257.105,257.097,257.3616,,,,,251.5478,251.741,252.8461,251.0363,251.8429,252.0985,,,,,,,256.0187,256.4703,256.5706,256.2107,,,,,,,250.7347,251.5266,251.6813,251.0263,,,,,255.5824,,,,,250.7191,,,33
1990,"Texas",8,"math",0.5042478,0.0349423,0.0359374,14.23566,0.4722911,0.1321723,0.3627827,0.0238949,0.0084381,0.0004208,,,,0.0886047,0.858957,0.0524383,0.4893479,0.3381158,0.1667439,0.0056088,257.7692,262.3761,,257.0621,254.8575,260.7635,258.326,,260.3996,259.4496,265.3737,261.9238,,,,,254.386,260.0766,257.3618,257.198,255.4973,261.5059,,,,,257.9215,263.3711,260.1507,261.8083,259.0831,264.8908,,,,,,,256.7914,254.7999,260.5114,258.0269,,,,,,,260.269,257.7238,263.0916,261.4225,,,,,257.3324,,,,,260.0517,,,34
1990,"Virginia",8,"math",0.5118597,0.0030438,0.0389387,13.96194,0.6762309,0.2293712,0.0470889,0.0370754,0.0102336,0,,,,0.0408793,0.9306167,0.0285041,0.7143518,0.2261833,0.0540912,0.0051222,263.8604,262.8784,,261.9811,261.0645,263.4667,262.3191,,262.1551,260.1946,262.3937,262.6022,,,,,259.5547,261.5771,261.3181,260.9129,259.6033,261.8045,,,,,259.7002,261.6929,262.0054,259.9675,259.9903,262.0998,,,,,,,259.3825,258.8694,260.8197,259.3601,,,,,,,259.4778,259.5963,261.524,259.7454,,,,,258.6253,,,,,259.3561,,,35
1990,"West Virginia",8,"math",0.4825309,0.0012307,0.041129,14.03629,0.8990431,0.0315377,0.040107,0.0062945,0.0220446,0.0009732,,,,0.0381001,0.9232336,0.0386662,0.8166546,0.1556347,0.024831,0.0016814,255.6645,247.9597,,253.7186,252.9532,256.1911,253.3185,,247.3498,245.3945,248.36,247.6659,,,,,251.3803,254.2416,252.5961,253.4728,250.7086,253.6821,,,,,244.9899,247.7527,247.2036,245.8157,245.1823,248.011,,,,,,,251.8987,250.2078,252.9622,251.1176,,,,,,,245.4099,244.8949,247.5504,245.5597,,,,,250.6169,,,,,245.2709,,,36
1990,"Wisconsin",8,"math",0.4994821,0.0048327,0.0351011,14.0381,0.8485405,0.0789602,0.0429066,0.0176765,0.0107642,0.001152,,,,0.0203431,0.9518508,0.0278061,0.7240058,0.2377526,0.0314554,0.0060522,274.413,268.159,,272.5995,271.469,274.962,272.5962,,267.6159,265.3874,268.5975,267.9033,,,,,270.0247,273.1456,271.7971,272.0164,269.727,273.0425,,,,,265.0467,268.055,267.4925,265.847,265.1896,268.3185,,,,,,,270.5732,269.1723,272.2457,270.2116,,,,,,,265.5044,264.9536,267.9071,265.6303,,,,,269.6571,,,,,265.3921,,,37
1990,"Wyoming",8,"math",0.4892255,0.0036451,0.0465762,14.05669,0.8557148,0.0071369,0.0904955,0.0099965,0.0340896,0.0025667,,,,0.01484,0.9673778,0.0177822,0.6655127,0.2969839,0.0313922,0.0061111,272.0204,265.1696,,270.1633,269.5195,272.7995,270.3879,,264.2145,262.7714,265.8573,264.7707,,,,,268.0138,270.9411,269.4578,270.2141,267.9552,271.1136,,,,,262.0725,264.9051,264.0116,263.3969,262.4247,265.4505,,,,,,,268.7131,267.2692,270.1834,268.6261,,,,,,,262.6967,261.8861,264.692,263.0436,,,,,267.9405,,,,,262.5032,,,38
1992,"Alabama",4,"math",0.4871478,0.000854,0.0594347,10.0988,0.6102041,0.3166984,0.0409753,0.0076402,0.024482,0,,,,0.1067032,0.8164638,0.076833,0.8215653,0.1450544,0.0326508,0.0007295,208.3279,209.378,,206.2301,207.1604,209.1414,206.5708,,208.8086,208.1077,209.9537,209.3591,,,,,205.2219,207.0466,205.7764,207.8041,205.322,207.2887,,,,,207.6514,209.3783,208.9366,208.5569,208.0728,209.883,,,,,,,205.8808,204.6363,206.4926,205.9188,,,,,,,208.0979,207.7468,209.4544,208.4891,,,,,205.2374,,,,,208.1603,,,1
1992,"Arizona",4,"math",0.4864977,0.0667957,0.0393113,10.10273,0.5596134,0.0417448,0.287097,0.0141503,0.097034,0.0003606,,,,0.0747562,0.8598787,0.0653651,0.5006128,0.4004291,0.0980373,0.0009208,215.2539,215.4892,,214.6372,213.6382,216.0985,214.1972,,214.2192,213.8356,216.2301,214.7046,,,,,213.1249,215.4955,213.9685,214.3313,212.6403,215.0782,,,,,212.77,214.9588,213.6702,214.4147,213.1316,215.4422,,,,,,,213.8483,212.4929,214.8454,213.3743,,,,,,,213.3469,212.2722,214.4046,213.7055,,,,,213.2344,,,,,212.8434,,,2
